<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,D,20010216,00:00:00,183.5300000,184.0700000,180.1000000,180.1000000,0
RI.RTSI,D,20010218,00:00:00,180.1000000,180.1000000,180.1000000,180.1000000,0
RI.RTSI,D,20010219,00:00:00,180.1000000,181.2100000,176.6700000,177.2900000,0
RI.RTSI,D,20010220,00:00:00,177.2900000,179.9000000,175.2800000,176.4500000,0
RI.RTSI,D,20010221,00:00:00,176.4500000,176.4500000,161.1200000,162.3900000,0
RI.RTSI,D,20010222,00:00:00,162.3900000,168.3500000,162.3900000,168.3100000,0
RI.RTSI,D,20010223,00:00:00,168.3100000,168.7500000,161.9500000,161.9500000,0
RI.RTSI,D,20010224,00:00:00,161.9500000,161.9500000,161.9500000,161.9500000,0
RI.RTSI,D,20010226,00:00:00,161.9500000,166.5600000,161.9500000,166.5600000,0
RI.RTSI,D,20010227,00:00:00,166.5600000,166.5600000,162.6000000,162.8600000,0
RI.RTSI,D,20010228,00:00:00,162.8600000,164.7600000,161.7700000,164.7600000,0
RI.RTSI,D,20010301,00:00:00,164.7600000,164.7600000,159.5600000,161.5500000,0
RI.RTSI,D,20010302,00:00:00,162.2600000,164.1100000,162.2600000,162.3900000,0
RI.RTSI,D,20010305,00:00:00,162.3900000,168.5600000,162.3900000,168.5600000,0
RI.RTSI,D,20010306,00:00:00,168.5600000,178.6100000,168.5600000,178.1600000,0
RI.RTSI,D,20010307,00:00:00,178.1600000,180.4800000,174.1800000,180.4800000,0
RI.RTSI,D,20010311,00:00:00,180.4800000,180.4800000,176.8500000,177.3400000,0
RI.RTSI,D,20010312,00:00:00,174.2700000,174.3900000,173.4200000,174.0200000,0
RI.RTSI,D,20010313,00:00:00,170.3600000,174.7400000,170.3600000,174.7400000,0
RI.RTSI,D,20010314,00:00:00,176.4000000,176.4000000,167.2400000,167.2400000,0
RI.RTSI,D,20010315,00:00:00,169.6200000,173.4100000,169.5600000,173.3100000,0
RI.RTSI,D,20010316,00:00:00,171.8200000,174.2400000,171.8200000,174.2400000,0
RI.RTSI,D,20010319,00:00:00,175.8900000,178.8200000,175.8900000,178.3700000,0
RI.RTSI,D,20010320,00:00:00,180.8300000,180.8300000,178.9700000,179.5900000,0
RI.RTSI,D,20010321,00:00:00,176.6500000,176.6500000,174.6800000,175.0300000,0
RI.RTSI,D,20010322,00:00:00,173.3100000,173.3100000,171.3200000,173.2000000,0
RI.RTSI,D,20010323,00:00:00,173.2000000,174.0000000,173.0200000,174.0000000,0
RI.RTSI,D,20010326,00:00:00,175.3000000,175.3200000,175.3000000,175.3200000,0
RI.RTSI,D,20010402,00:00:00,169.6215000,169.6215000,166.8195000,167.5772000,0
RI.RTSI,D,20010403,00:00:00,166.2731000,166.2731000,163.0254000,163.6501000,0
RI.RTSI,D,20010404,00:00:00,158.2897000,161.7933000,158.2897000,161.2701000,0
